OPT_ID,SEC_SHORT_NAME,OPEN_PRICE,HIGHEST_PRICE,LOWEST_PRICE,CLOSE_PRICE,SETTL_PRICE,TURNOVER_VOL,TURNOVER_VALUE,EXP_DATE,CONTRACT_TYPE,STRIKE
11000105,50ETF购1月2250, 0.2703 , 0.2713 , 0.1928 , 0.2433 , 0.2433 ,21054,49189767,2015/1/28,CO,2.25
11000106,50ETF购1月2300, 0.2224 , 0.2225 , 0.1487 , 0.1871 , 0.1871 ,10212,18647205,2015/1/28,CO,2.30
11000107,50ETF购1月2350, 0.1754 , 0.1756 , 0.1039 , 0.1387 , 0.1387 ,9495,12811977,2015/1/28,CO,2.35
11000081,50ETF购1月2400, 0.1228 , 0.1257 , 0.0695 , 0.0910 , 0.0910 ,11468,10972182,2015/1/28,CO,2.40
11000082,50ETF购1月2450, 0.0831 , 0.0846 , 0.0413 , 0.0483 , 0.0483 ,11531,6800441,2015/1/28,CO,2.45
11000001,50ETF购1月2500, 0.0500 , 0.0515 , 0.0220 , 0.0350 , 0.0350 ,29124,9982027,2015/1/28,CO,2.50
11000002,50ETF购1月2550, 0.0248 , 0.0248 , 0.0017 , 0.0082 , 0.0082 ,13665,1389836,2015/1/28,CO,2.55
11000111,50ETF购2月2250, 0.2871 , 0.2876 , 0.2495 , 0.2561 , 0.2561 ,9563,25246039,2015/2/25,CO,2.25
11000112,50ETF购2月2300, 0.2478 , 0.2484 , 0.2079 , 0.2231 , 0.2231 ,5884,13195545,2015/2/25,CO,2.30
11000113,50ETF购2月2350, 0.2115 , 0.2117 , 0.1728 , 0.1859 , 0.1859 ,5997,11357995,2015/2/25,CO,2.35
11000085,50ETF购2月2400, 0.1771 , 0.1771 , 0.1430 , 0.1543 , 0.1543 ,5479,8492857,2015/2/25,CO,2.40
11000086,50ETF购2月2450, 0.1479 , 0.1479 , 0.1153 , 0.1282 , 0.1282 ,6835,8755767,2015/2/25,CO,2.45
11000011,50ETF购2月2500, 0.1229 , 0.1233 , 0.0900 , 0.1000 , 0.1000 ,16584,17501805,2015/2/25,CO,2.50
11000012,50ETF购2月2550, 0.0997 , 0.1000 , 0.0716 , 0.0793 , 0.0793 ,10184,8414578,2015/2/25,CO,2.55
11000117,50ETF购3月2250, 0.3395 , 0.3402 , 0.3074 , 0.3182 , 0.3182 ,3684,11912233,2015/3/25,CO,2.25
11000118,50ETF购3月2300, 0.3065 , 0.3075 , 0.2743 , 0.2879 , 0.2879 ,2257,6459519,2015/3/25,CO,2.30
11000119,50ETF购3月2350, 0.2748 , 0.2760 , 0.2446 , 0.2557 , 0.2557 ,4057,10461786,2015/3/25,CO,2.35
11000089,50ETF购3月2400, 0.2419 , 0.2425 , 0.2136 , 0.2216 , 0.2216 ,4627,10364900,2015/3/25,CO,2.40
11000090,50ETF购3月2450, 0.2145 , 0.2149 , 0.1868 , 0.1934 , 0.1934 ,4191,8232922,2015/3/25,CO,2.45
11000021,50ETF购3月2500, 0.1894 , 0.1900 , 0.1609 , 0.1674 , 0.1674 ,3820,6574315,2015/3/25,CO,2.50
11000022,50ETF购3月2550, 0.1648 , 0.1656 , 0.1408 , 0.1502 , 0.1502 ,4375,6533654,2015/3/25,CO,2.55
11000123,50ETF购6月2250, 0.4024 , 0.4102 , 0.3798 , 0.3882 , 0.3882 ,6148,24330284,2015/6/24,CO,2.25
11000124,50ETF购6月2300, 0.3703 , 0.3809 , 0.3499 , 0.3511 , 0.3511 ,5024,18262953,2015/6/24,CO,2.30
11000125,50ETF购6月2350, 0.3403 , 0.3548 , 0.3205 , 0.3222 , 0.3222 ,3730,12457437,2015/6/24,CO,2.35
11000093,50ETF购6月2400, 0.3085 , 0.3172 , 0.2895 , 0.2926 , 0.2926 ,3910,11822096,2015/6/24,CO,2.40
11000094,50ETF购6月2450, 0.2807 , 0.2873 , 0.2582 , 0.2661 , 0.2661 ,2818,7674346,2015/6/24,CO,2.45
11000031,50ETF购6月2500, 0.2517 , 0.2603 , 0.2373 , 0.2405 , 0.2405 ,3850,9518467,2015/6/24,CO,2.50
11000032,50ETF购6月2550, 0.2304 , 0.2374 , 0.2121 , 0.2171 , 0.2171 ,3990,8960119,2015/6/24,CO,2.55
11000108,50ETF沽1月2250, 0.0014 , 0.0017 , 0.0003 , 0.0014 , 0.0014 ,6013,61537,2015/1/28,PO,2.25
11000109,50ETF沽1月2300, 0.0044 , 0.0046 , 0.0018 , 0.0025 , 0.0025 ,3706,117758,2015/1/28,PO,2.30
11000110,50ETF沽1月2350, 0.0071 , 0.0076 , 0.0036 , 0.0060 , 0.0060 ,5019,294247,2015/1/28,PO,2.35
11000083,50ETF沽1月2400, 0.0122 , 0.0151 , 0.0067 , 0.0108 , 0.0108 ,7405,823449,2015/1/28,PO,2.40
11000084,50ETF沽1月2450, 0.0225 , 0.0331 , 0.0121 , 0.0222 , 0.0222 ,10458,2231695,2015/1/28,PO,2.45
11000006,50ETF沽1月2500, 0.0380 , 0.0650 , 0.0296 , 0.0502 , 0.0502 ,20823,9212809,2015/1/28,PO,2.50
11000007,50ETF沽1月2550, 0.0647 , 0.1080 , 0.0496 , 0.0843 , 0.0843 ,13763,9994436,2015/1/28,PO,2.55
11000114,50ETF沽2月2250, 0.0451 , 0.0556 , 0.0435 , 0.0493 , 0.0493 ,6854,3459134,2015/2/25,PO,2.25
11000115,50ETF沽2月2300, 0.0575 , 0.0654 , 0.0558 , 0.0625 , 0.0625 ,5295,3220766,2015/2/25,PO,2.30
11000116,50ETF沽2月2350, 0.0701 , 0.0793 , 0.0675 , 0.0740 , 0.0740 ,5284,3937207,2015/2/25,PO,2.35
11000087,50ETF沽2月2400, 0.0861 , 0.0987 , 0.0850 , 0.0937 , 0.0937 ,5422,5019883,2015/2/25,PO,2.40
11000088,50ETF沽2月2450, 0.1079 , 0.1218 , 0.1044 , 0.1169 , 0.1169 ,5425,6184185,2015/2/25,PO,2.45
11000016,50ETF沽2月2500, 0.1319 , 0.1488 , 0.1268 , 0.1447 , 0.1447 ,10052,13865991,2015/2/25,PO,2.50
11000017,50ETF沽2月2550, 0.1597 , 0.1794 , 0.1551 , 0.1751 , 0.1751 ,6860,11407063,2015/2/25,PO,2.55
11000120,50ETF沽3月2250, 0.0803 , 0.0925 , 0.0801 , 0.0897 , 0.0897 ,1475,1308065,2015/3/25,PO,2.25
11000121,50ETF沽3月2300, 0.0979 , 0.1095 , 0.0930 , 0.1071 , 0.1071 ,1468,1527549,2015/3/25,PO,2.30
11000122,50ETF沽3月2350, 0.1154 , 0.1261 , 0.1099 , 0.1240 , 0.1240 ,1963,2368279,2015/3/25,PO,2.35
11000091,50ETF沽3月2400, 0.1348 , 0.1473 , 0.1295 , 0.1411 , 0.1411 ,2361,3324900,2015/3/25,PO,2.40
11000092,50ETF沽3月2450, 0.1551 , 0.1700 , 0.1478 , 0.1672 , 0.1672 ,2816,4597803,2015/3/25,PO,2.45
11000026,50ETF沽3月2500, 0.1788 , 0.1973 , 0.1747 , 0.1924 , 0.1924 ,4163,7824609,2015/3/25,PO,2.50
11000027,50ETF沽3月2550, 0.2046 , 0.2256 , 0.1949 , 0.2169 , 0.2169 ,4178,9026205,2015/3/25,PO,2.55
11000126,50ETF沽6月2250, 0.1553 , 0.1684 , 0.1488 , 0.1672 , 0.1672 ,3091,4853776,2015/6/24,PO,2.25
11000127,50ETF沽6月2300, 0.1722 , 0.1845 , 0.1654 , 0.1818 , 0.1818 ,2451,4243856,2015/6/24,PO,2.30
11000128,50ETF沽6月2350, 0.1888 , 0.2030 , 0.1836 , 0.2013 , 0.2013 ,3355,6419640,2015/6/24,PO,2.35
11000095,50ETF沽6月2400, 0.2079 , 0.2238 , 0.2012 , 0.2218 , 0.2218 ,3523,7418290,2015/6/24,PO,2.40
11000096,50ETF沽6月2450, 0.2269 , 0.2470 , 0.2202 , 0.2434 , 0.2434 ,3393,7871180,2015/6/24,PO,2.45
11000036,50ETF沽6月2500, 0.2452 , 0.2689 , 0.2420 , 0.2665 , 0.2665 ,3748,9535162,2015/6/24,PO,2.50
11000037,50ETF沽6月2550, 0.2758 , 0.2974 , 0.2660 , 0.2940 , 0.2940 ,3884,10840369,2015/6/24,PO,2.55
